position,team,played,won,drawn,lost,goals_for,goals_against,goals_difference,points
1,Manchester City,38,29,6,3,99,26,73,93
2,Liverpool,38,28,8,2,94,26,68,92
3,Chelsea,38,21,11,6,76,33,43,74
4,Tottenham Hotspur,38,22,5,11,69,40,29,71
5,Arsenal,38,22,3,13,61,48,13,69
6,Manchester United,38,16,10,12,57,57,0,58
7,West Ham United,38,16,8,14,60,51,9,56
8,Leicester City,38,14,10,14,62,59,3,52
9,Brighton and Hove Albion,38,12,15,11,42,44,-2,51
10,Wolverhampton Wanderers,38,15,6,17,38,43,-5,51
11,Newcastle United,38,13,10,15,44,62,-18,49
12,Crystal Palace,38,11,15,12,50,46,4,48
13,Brentford,38,13,7,18,48,56,-8,46
14,Aston Villa,38,13,6,19,52,54,-2,45
15,Southampton,38,9,13,16,43,67,-24,40
16,Everton,38,11,6,21,43,66,-23,39
17,Leeds United,38,9,11,18,42,79,-37,38
18,Burnley,38,7,14,17,34,53,-19,35
19,Watford,38,6,5,27,34,77,-43,23
20,Norwich City,38,5,7,26,23,84,-61,22
