match_id,stadium,attendance,is_home_team,team,possessions,total_shots,on_target,off_target,blocked,passing,clear_cut_chance,corners,offsides,tackles,aerial_duels,saves,fouls_committed,fouls_won,yellow_cards,red_cards
429207,Emirates Stadium,10000.0,True,Arsenal,53.9,16,5,7,4,88.1,0,11,2,57.1,63.6,1,10,8,0,0
429207,Emirates Stadium,10000.0,False,Brighton and Hove Albion,46.1,5,1,3,1,86.7,0,3,1,70.6,36.4,3,8,10,0,0
429208,Villa Park,10000.0,True,Aston Villa,28.8,6,3,3,0,69.6,0,2,0,78.6,62.5,6,11,12,3,0
429208,Villa Park,10000.0,False,Chelsea,71.2,23,7,11,5,89,6,9,2,44.4,37.5,1,12,11,4,1
429209,Craven Cottage,2000.0,True,Fulham,64.3,14,0,7,7,90.1,1,5,1,38.9,41.2,2,12,6,1,0
429209,Craven Cottage,2000.0,False,Newcastle United,35.7,10,4,3,3,81.1,1,4,0,38.5,58.8,0,6,12,0,0
429210,Elland Road,8000.0,True,Leeds United,64.4,17,9,3,5,82.6,1,8,3,66.7,63,4,12,11,2,0
429210,Elland Road,8000.0,False,West Bromwich Albion,35.6,14,5,6,3,70.9,0,3,3,57.9,37,6,12,12,1,0
429211,The King Power Stadium,8000.0,True,Leicester City,47,10,6,2,2,76.6,0,8,3,60.7,40.7,1,9,7,0,0
429211,The King Power Stadium,8000.0,False,Tottenham Hotspur,53,11,4,2,5,80.7,0,7,1,72.2,59.3,4,8,8,2,0
429212,Anfield,9901.0,True,Liverpool,69.6,19,5,10,4,85.4,3,14,2,80,48.1,4,10,7,2,0
429212,Anfield,9901.0,False,Crystal Palace,30.4,5,4,1,0,61.2,1,1,1,66.7,51.9,3,8,10,2,0
429213,Etihad Stadium,10000.0,True,Manchester City,67.7,21,11,6,4,91.7,5,7,1,50,42.1,3,8,10,2,0
429213,Etihad Stadium,10000.0,False,Everton,32.3,8,3,2,3,79.4,0,5,1,75,57.9,6,10,8,2,0
429214,Bramall Lane,5096.0,True,Sheffield United,43,12,3,7,2,68.4,0,8,2,68.4,47,3,11,1,3,0
429214,Bramall Lane,5096.0,False,Burnley,57,10,3,3,4,71.8,0,9,1,75,53,2,1,11,1,0
429215,London Stadium,10000.0,True,West Ham United,36.9,14,7,6,1,69,2,2,5,50,62.1,5,5,9,0,0
429215,London Stadium,10000.0,False,Southampton,63.1,17,5,8,4,80.7,2,3,2,56.5,37.9,4,9,5,3,0
429216,Molineux,4500.0,True,Wolverhampton Wanderers,57.2,14,4,6,4,88.6,0,6,1,57.9,42.9,2,14,3,4,0
429216,Molineux,4500.0,False,Manchester United,42.8,9,4,5,0,86.6,3,2,1,50,57.1,3,3,14,1,0
429201,Goodison Park,6068.0,True,Everton,41,14,4,4,6,79.3,0,7,0,57.1,70.6,3,11,11,0,0
429201,Goodison Park,6068.0,False,Wolverhampton Wanderers,59,9,3,2,4,84.5,0,12,0,66.7,29.4,3,11,11,2,0
429203,St. James' Park,10000.0,True,Newcastle United,50.9,16,5,9,2,89.1,3,5,2,12.5,53.3,1,7,7,0,0
429203,St. James' Park,10000.0,False,Sheffield United,49.1,11,1,9,1,84.2,1,2,4,58.8,46.7,4,7,6,2,0
429205,Tottenham Hotspur Stadium,10000.0,True,Tottenham Hotspur,60.8,10,4,2,4,83.8,0,4,2,61.9,48,3,14,13,1,0
429205,Tottenham Hotspur Stadium,10000.0,False,Aston Villa,39.2,20,4,9,7,80.4,1,5,3,50,52,3,13,14,1,0
429200,Selhurst Park,6500.0,True,Crystal Palace,31.3,12,6,4,2,70.2,1,6,3,60,50,0,7,6,2,0
429200,Selhurst Park,6500.0,False,Arsenal,68.7,6,3,1,2,86.6,3,7,2,62.5,50,5,7,6,1,0
429198,Turf Moor,3387.0,True,Burnley,41.2,10,4,3,3,77.6,2,6,1,50,36.8,0,10,7,0,0
429198,Turf Moor,3387.0,False,Liverpool,58.8,20,3,9,8,84.9,3,7,1,46.7,63.2,4,7,8,0,0
429206,The Hawthorns,5371.0,True,West Bromwich Albion,52.5,14,4,5,5,74.5,0,6,2,50,58.5,6,8,10,2,0
429206,The Hawthorns,5371.0,False,West Ham United,47.5,21,9,9,3,73.6,4,8,1,56.3,41.5,3,11,8,2,0
429202,Old Trafford,10000.0,True,Manchester United,57.1,13,6,5,2,86.6,1,6,4,46.2,50,4,10,15,2,0
429202,Old Trafford,10000.0,False,Fulham,42.9,8,5,2,1,81.2,2,1,1,56,50,5,15,10,3,0
429204,St. Mary's Stadium,7291.0,True,Southampton,51.3,18,3,11,4,82.7,0,4,2,65.2,38.5,5,10,12,0,0
429204,St. Mary's Stadium,7291.0,False,Leeds United,48.7,15,7,6,2,74.7,1,5,1,57.1,61.5,3,12,9,3,0
429197,Amex Stadium,7945.0,True,Brighton and Hove Albion,62.7,19,6,4,9,89,0,5,3,50,52,2,13,11,3,0
429197,Amex Stadium,7945.0,False,Manchester City,37.3,8,4,2,2,83.4,1,3,1,40,48,3,11,13,3,1
429199,Stamford Bridge,7195.0,True,Chelsea,58.6,17,6,5,6,84.9,1,6,1,68.4,53.1,2,15,15,2,0
429199,Stamford Bridge,7195.0,False,Leicester City,41.4,7,3,3,1,76.1,2,5,0,65.2,46.9,4,16,14,5,0
429193,Selhurst Park,,True,Crystal Palace,45.5,23,8,3,12,73.5,0,7,2,66.7,51.4,3,23,13,3,0
429193,Selhurst Park,,False,Aston Villa,54.5,19,5,8,6,78.1,1,7,2,53.8,48.6,5,13,23,2,0
429196,Tottenham Hotspur Stadium,,True,Tottenham Hotspur,61.9,24,13,9,2,87.5,2,10,2,90.9,58.1,3,8,11,1,0
429196,Tottenham Hotspur Stadium,,False,Wolverhampton Wanderers,38.1,15,3,7,5,82.8,1,3,3,65,41.9,9,11,8,0,0
429191,The Hawthorns,,True,West Bromwich Albion,23.7,9,3,5,1,60,3,9,3,12.5,51.1,4,7,14,0,0
429191,The Hawthorns,,False,Liverpool,76.3,26,6,10,10,87.3,1,13,2,50,48.9,2,14,7,0,0
429189,Goodison Park,,True,Everton,62.4,16,6,5,5,86.1,1,11,0,52.4,70,2,8,12,1,0
429189,Goodison Park,,False,Sheffield United,37.6,10,3,3,4,77.4,1,4,3,50,30,6,12,8,3,0
429188,Turf Moor,,True,Burnley,48.2,16,4,8,4,76.8,2,6,2,66.7,60.5,2,10,10,1,0
429188,Turf Moor,,False,Leeds United,51.8,16,6,5,5,76.4,3,8,6,54.5,39.5,4,10,10,1,0
429195,St. Mary's Stadium,,True,Southampton,46.2,11,7,2,2,86.2,2,6,3,57.9,50,2,9,14,0,0
429195,St. Mary's Stadium,,False,Fulham,53.8,10,3,4,3,86.5,1,5,1,56.5,50,3,15,9,1,0
429187,Amex Stadium,,True,Brighton and Hove Albion,51.1,10,2,2,6,85.4,1,3,0,44.4,28.6,1,7,4,1,0
429187,Amex Stadium,,False,West Ham United,48.9,15,3,8,4,85.9,3,3,2,33.3,71.4,1,5,7,0,0
429194,St. James' Park,,True,Newcastle United,17.9,11,5,3,3,67.7,0,4,0,38.5,52.6,2,11,10,2,0
429194,St. James' Park,,False,Manchester City,82.1,15,6,7,2,94.2,1,5,0,42.9,47.4,2,10,10,2,0
429018,Villa Park,,True,Aston Villa,58,13,2,7,4,83.9,1,9,0,71.4,42.1,5,9,12,2,0
429018,Villa Park,,False,Everton,42,15,5,9,1,81.5,0,1,2,44.4,57.9,2,12,8,1,0
429172,Old Trafford,,True,Manchester United,53.3,18,3,8,7,78.9,2,6,1,59.1,57.1,4,10,10,3,0
429172,Old Trafford,,False,Liverpool,46.7,17,8,5,4,78.9,5,4,1,56.3,42.9,0,12,9,0,0
429192,Stamford Bridge,,True,Chelsea,67.7,19,5,9,5,89.7,0,9,4,100,68,2,7,5,0,0
429192,Stamford Bridge,,False,Arsenal,32.3,5,2,1,2,79.4,1,1,2,57.1,32,4,6,5,1,0
429190,Old Trafford,,True,Manchester United,53.1,4,1,3,0,82.4,0,3,3,58.3,43.5,1,9,12,0,0
429190,Old Trafford,,False,Leicester City,46.9,12,3,3,6,82.3,1,4,0,47.1,56.5,0,12,9,0,0
429155,St. Mary's Stadium,,True,Southampton,62.7,13,6,3,4,87.2,2,12,1,69.2,27.3,3,20,13,2,0
429155,St. Mary's Stadium,,False,Crystal Palace,37.3,11,4,2,5,76.2,0,8,2,58.8,72.7,3,13,20,3,0
429179,Craven Cottage,,True,Fulham,68,21,3,11,7,75.4,0,8,4,50,50.7,3,11,8,2,0
429179,Craven Cottage,,False,Burnley,32,14,5,6,3,47.8,3,4,1,52.9,49.3,3,10,11,0,0
429186,Molineux,,True,Wolverhampton Wanderers,60.7,16,6,3,7,88.9,1,10,0,57.1,21.7,2,12,7,2,0
429186,Molineux,,False,Brighton and Hove Albion,39.3,5,3,1,1,82.3,0,5,2,66.7,78.3,4,7,11,2,2
429178,Villa Park,,True,Aston Villa,41.1,11,5,3,3,80.2,0,5,0,35.7,37.5,4,13,17,1,1
429178,Villa Park,,False,Manchester United,58.9,18,7,4,7,85.8,1,6,0,70,62.5,5,18,12,1,0
429185,London Stadium,,True,West Ham United,68.6,11,0,6,5,90.1,1,5,2,62.5,41.4,2,8,10,2,0
429185,London Stadium,,False,Everton,31.4,9,3,4,2,74.1,2,6,2,62.5,58.6,0,10,8,1,0
429177,Emirates Stadium,,True,Arsenal,65.7,15,7,5,3,86.3,1,6,1,72.7,47.8,0,7,8,1,0
429177,Emirates Stadium,,False,West Bromwich Albion,34.3,12,1,7,4,72.9,3,6,2,78.6,52.2,4,9,7,2,0
429180,Elland Road,,True,Leeds United,53.3,16,7,5,4,79.6,2,8,1,50,62.9,2,12,10,1,0
429180,Elland Road,,False,Tottenham Hotspur,46.7,11,3,4,4,74.9,1,6,2,53.3,37.1,5,10,12,2,0
